[20:41:20] === WA Rego Checker Started (5 workers) ===
[20:41:20] [W3] Checking 1AAB600 (attempt 1, total hits 0)
[20:41:20] [W2] Checking 1AAB601 (attempt 1, total hits 0)
[20:41:20] [W4] Checking 1AAB602 (attempt 1, total hits 0)
[20:41:20] [W5] Checking 1AAB603 (attempt 1, total hits 0)
[20:41:20] [W1] Checking 1AAB604 (attempt 1, total hits 0)
[20:41:38] [W4] Checking 1AAB605 (attempt 2, total hits 0)
[20:41:38] [W1] Checking 1AAB606 (attempt 2, total hits 0)
[20:41:40] [W5] Checking 1AAB607 (attempt 2, total hits 0)
[20:41:40] [W3] Checking 1AAB608 (attempt 2, total hits 0)
[20:41:41] [W2] Checking 1AAB609 (attempt 2, total hits 0)
[20:41:46] [W4] Checking 1AAB610 (attempt 3, total hits 0)
[20:41:50] [W2] Checking 1AAB611 (attempt 3, total hits 0)
[20:41:50] [W3] Checking 1AAB612 (attempt 3, total hits 0)
[20:41:50] [W1] Checking 1AAB613 (attempt 3, total hits 0)
[20:41:51] [W5] Checking 1AAB614 (attempt 3, total hits 0)
[20:41:56] [W4] Checking 1AAB615 (attempt 4, total hits 0)
[20:41:59] [W2] Checking 1AAB616 (attempt 4, total hits 0)
[20:42:00] [W3] Checking 1AAB617 (attempt 4, total hits 0)
[20:42:00] [W1] Checking 1AAB618 (attempt 4, total hits 0)
[20:42:01] [W5] Checking 1AAB619 (attempt 4, total hits 0)
[20:42:06] [W4] Checking 1AAB620 (attempt 5, total hits 0)
[20:42:09] [W3] Checking 1AAB621 (attempt 5, total hits 0)
[20:42:11] [W5] Checking 1AAB622 (attempt 5, total hits 0)
[20:42:11] [W2] Checking 1AAB623 (attempt 5, total hits 0)
[20:42:12] [W1] Checking 1AAB624 (attempt 5, total hits 0)
[20:42:18] [W4] Checking 1AAB625 (attempt 6, total hits 0)
[20:42:18] [W3] Checking 1AAB626 (attempt 6, total hits 0)
[20:42:21] [W2] Checking 1AAB627 (attempt 6, total hits 0)
[20:42:21] [W5] Checking 1AAB628 (attempt 6, total hits 0)
[20:42:23] [W1] Checking 1AAB629 (attempt 6, total hits 0)
[20:42:28] [W4] Checking 1AAB630 (attempt 7, total hits 0)
[20:42:29] [W3] Checking 1AAB631 (attempt 7, total hits 0)
[20:42:29] [W2] Checking 1AAB632 (attempt 7, total hits 0)
[20:42:31] [W5] Checking 1AAB633 (attempt 7, total hits 0)
[20:42:33] [W1] Checking 1AAB634 (attempt 7, total hits 0)
[20:42:36] [W4] Checking 1AAB635 (attempt 8, total hits 0)
[20:42:37] [W3] Checking 1AAB636 (attempt 8, total hits 0)
[20:42:39] [W2] Checking 1AAB637 (attempt 8, total hits 0)
[20:42:42] [W5] Checking 1AAB638 (attempt 8, total hits 0)
[20:42:42] [W1] Checking 1AAB639 (attempt 8, total hits 0)
[20:42:47] [W5][CRASH] 1AAB638: page.waitForTimeout: Target page, context or browser has been closed
